ID,Title,Brand,Price,Category,Total Price,Sale Price,Description,Ingredients & How to use,Photo_Links
62749043,Atulya arabian jasmine body mist,Atulya,499,HOT DEALS,637,"This item: atulya arabian jasmine body mist
Sale price: 324
Atulya wine grape lip balm - 5gm
Sale price: 142
Atulya chandan haldi soap - 10gm
Sale price: 
Atulya rose lip balm for hydrating lips - 5gm
Sale price: 142
","Jasmine
  / aloe vera","Jasmine
  / Aloe vera
1- Before using , give it a good shake
2- Spray it all over your body for a refreshing aroma and a moisturizing finish, repeat as needed
3- Hold the bottle upright and spray 15 cm from the underarm and body for better effect","https://myatulya.com/cdn/shop/files/ArabianJasmineBodyMistA_Content-01.jpg?v=1690789494&width=1080, https://myatulya.com/cdn/shop/files/ArabianJasmineBodyMistA_Content-02.jpg?v=1690789494&width=1080, https://myatulya.com/cdn/shop/files/ArabianJasmineBodyMistA_Content-03.jpg?v=1690789493&width=1080, https://myatulya.com/cdn/shop/files/ArabianJasmineBodyMistA_Content-04.jpg?v=1690789493&width=1080"
77587036,Atulya organic bamboo charcoal foaming face wash 100ml,Atulya,299,HOT DEALS,861,"This item: atulya organic bamboo charcoal foaming face wash 100ml
Sale price: 164
Atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
Atulya aloe vera retrieval facial mist toner
Sale price: 259
Atulya aloe vera foaming face wash with built-in silicone brush - 150ml
Sale price: 219
","Activated organic bamboo charcoal foaming face wash pulls out bacteria, poisons, chemicals, dirt, and other micro-particles to the surface of the skin, helping you to achieve a flawless complexion and fight acne. 
why it's good to use: 
helps to minimize skin damage due to excessive exposure to pollution and sunlight gently removes dirt, toxins, impurities, blackheads, and acne-causing bacteria that clog poresdeeply cleanses & absorbs extra oil from pores without drying or irritating the skin.","Bamboo
  Charcoal
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolFaceWash100mlA_Content-AT-01.jpg?v=1690610576&width=1080, https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolFaceWash100mlA_Content-AT-02.jpg?v=1690610577&width=1080, https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolFaceWash100mlA_Content-AT-03.jpg?v=1690610576&width=1080, https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolFaceWash100mlA_Content-AT-04.jpg?v=1690610576&width=1080"
94756625,Atulya apple cider vinegar foaming face wash 100ml,Atulya,299,HOT DEALS,866,"This item: atulya apple cider vinegar foaming face wash 100ml
Sale price: 169
Atulya haldi & chandan foaming face wash with built-in silicone brush - 150ml
Sale price: 259
Atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
Atulya papaya foaming face wash with built-in silicone brush - 150ml
Sale price: 219
","Apple cider vinegar foaming face wash is an oil-clearing cleanser enriched with apple cider vinegar, aloe vera extract. it is particularly effective at removing grime, sweat, excess oil, and makeup. it aids in the restoration of the skin's natural ph balance as well as the control of excessive sebum production. 
why it's good to use:

removes grime, pollutants, and makeup residue. aids in skin's absorption of moisturizers.
removes pollutants from the skin and helps to preserve the skin's natural ph balance. 
relieves redness and dryness, and calms acne-prone skin.","Apple /
  Aloe Vera
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/AppleCiderVinegarFaceWash100mlA_Content-AT-01.jpg?v=1690610303&width=1080, https://myatulya.com/cdn/shop/files/AppleCiderVinegarFaceWash100mlA_Content-AT-02.jpg?v=1690610303&width=1080, https://myatulya.com/cdn/shop/files/AppleCiderVinegarFaceWash100mlA_Content-AT-03.jpg?v=1690610304&width=1080, https://myatulya.com/cdn/shop/files/AppleCiderVinegarFaceWash100mlA_Content-AT-04.jpg?v=1690610303&width=1080"
53859047,Atulya wine grape lip balm - 5gm,Atulya,249,HOT DEALS,707,"This item: atulya wine grape lip balm - 5gm
Sale price: 142
Atulya hibiscus & blackseed shampoo 30ml
Sale price: 74
Atulya rose lip balm for hydrating lips - 5gm
Sale price: 142
Atulya keratin & wheat protein shampoo - 300ml
Sale price: 349
","Atulya wine grapefruit lip balm helps protect the lips from untimely ageing and harmful uv rays providing soft and supple lips. 

it keeps your lips fresh and hydrated all day long.

it adds a natural shine to your lips.

it nourishes the lips and retains moisture for a long time.

it moisturizes dry and chapped lips, making them soft and supple.

free from harsh chemicals, this lip balm suits all skin types.","Wine
  Grapes / Shea Butter
1- Take some lip balm from the box
2- Apply on your lips in a circular motion","https://myatulya.com/cdn/shop/files/WineGrapeLipBalmA_ContentNew-01.jpg?v=1690615366&width=1080, https://myatulya.com/cdn/shop/files/WineGrapeLipBalmA_ContentNew-02.jpg?v=1690615366&width=1080, https://myatulya.com/cdn/shop/files/WineGrapeLipBalmA_ContentNew-03.jpg?v=1690615367&width=1080, https://myatulya.com/cdn/shop/files/WineGrapeLipBalmA_ContentNew-04.jpg?v=1690615367&width=1080"
21115705,Atulya activated bamboo charcoal soap - 125gm,Atulya,149,HOT DEALS,111,"Atulya rejuvenating rose water soap - handmade soap with natural essential oils
Sale price: 111
Atulya amla & bhringraj hair oil 30ml - freebie
Sale price: 0
Atulya amla & bhringraj shampoo 30ml
Sale price: 0
","Atulya activated bamboo charcoal soap is rich in antioxidants that help to protect the skin from pollutants, dirt, and toxins. it deeply cleanses the skin and exfoliates dead skin cells. this natural handmade soap hydrates your skin, gives it a natural glow, and makes it soft.

this natural handmade soap helps restore the lost moisture of the skin.
it naturally exfoliates dead cells and helps in improving skin elasticity.
it helps in repairing skin cells to prevent premature aging.
this soap with activated bamboo charcoal helps improve the overall skin texture.
regular use of this soap makes your skin naturally glowing.",,https://myatulya.com/cdn/shop/products/ActivatedBambooCharcolSoapNewA_Content-AT-01.jpg?v=1645250077&width=1080
87699939,Atulya aloe vera retrieval facial mist toner,Atulya,399,HOT DEALS,884,"This item: atulya aloe vera retrieval facial mist toner
Sale price: 259
Atulya rose gel 200gm
Sale price: 299
Atulya rose petals organic powder-100% pure & natural
Sale price: 162
Atulya organic bamboo charcoal foaming face wash 100ml
Sale price: 164
","Aloe vera retrieval facial mist toner penetrates the skin and replenishes it with energy. the gel-like flesh inside aloe vera leaves contains more amino acid and moisture which helps heal skin damaged by uv radiation and heat while also giving intense hydration. aloe water calms and strengthens the skin’s barrier, making it look and feel younger. 
why it's good to use :

natural toner with 100% pure steam distilled aloe vera juice for refreshed and renewed skin.
the skin gets toned, moisturized, and smoothed, making it look healthy and supple.
relieves redness and inflammation while cleaning the skin’s surface of pore clogging debris.","Aloe
  Vera / neem
1- Dab it directly on the face with a cotton pad
2- Rinse your face with water
3- Get glowing & radiant rose like skin naturally","https://myatulya.com/cdn/shop/files/AloeVeraFacialMistTonerA_Content-06-01.jpg?v=1697190532&width=1080, https://myatulya.com/cdn/shop/files/AloeVeraFacialMistTonerA_Content-06-02.jpg?v=1697190530&width=1080, https://myatulya.com/cdn/shop/files/AloeVeraFacialMistTonerA_Content-06-03.jpg?v=1697190531&width=1080, https://myatulya.com/cdn/shop/files/AloeVeraFacialMistTonerA_Content-06-04.jpg?v=1697190531&width=1080"
17376035,Atulya tea tree anti-acne face mask - 200gm,Atulya,499,HOT DEALS,"1,196","This item: atulya tea tree anti-acne face mask - 200gm
Sale price: 324
Atulya tea tree & neem foaming face wash - 150ml
Sale price: 219
Atulya black seed kalonji cold pressed oil 100ml
Sale price: 329
Atulya tea tree essential oil - 15ml
Sale price: 324
","Atulya anti-acne tea tree face mask controls excess oil while reducing the appearance of acne and pimples. tea tree oil naturally attacks acne-causing bacteria and lowers acne inflammation while green tea clears pore congestion, fights germs, and controls excess oil. also, it boosts collagen production, exfoliates dead skin cells, and cleanses pores.

this anti-acne face mask has tea tree, which is purifying, aids in the reduction of acne and pimples.
it has antibacterial and antifungal properties that help to relieve redness and inflammation produced by bacteria.
it helps reduce the visibility of dark spots & blemishes and makes skin naturally glowing.
it hydrates the skin, improves skin tone and controls excess oil production.
free from harsh chemicals like paraben, sulphate, and mineral oil, this face mask suits all skin types.","Tea tree
  / Aloe Vera juice
1- Apply to your face & neck using fingertips
2- For 5-7 minutes
3- Let it dry
4- Rinse with warm water","https://myatulya.com/cdn/shop/files/TeaTreeFaceMaskA_Content-AT-01.jpg?v=1690782798&width=1080, https://myatulya.com/cdn/shop/files/TeaTreeFaceMaskA_Content-AT-02.jpg?v=1690782798&width=1080, https://myatulya.com/cdn/shop/files/TeaTreeFaceMaskA_Content-AT-03.jpg?v=1690782799&width=1080, https://myatulya.com/cdn/shop/files/TeaTreeFaceMaskA_Content-AT-04.jpg?v=1690782798&width=1080"
25308149,Atulya haldi & chandan foaming face wash with built-in silicone brush - 150ml,Atulya,399,HOT DEALS,916,"This item: atulya haldi & chandan foaming face wash with built-in silicone brush - 150ml
Sale price: 259
Atulya papaya foaming face wash with built-in silicone brush - 150ml
Sale price: 219
Atulya saffron & honey face wash with built-in silicone brush - 150ml
Sale price: 219
Atulya vitamin c foaming face wash with silicone brush - 150ml
Sale price: 219
","Atulya haldi & chandan foaming face wash is infused with ayurvedic goodness. it efficiently removes impurities, dust, and debris from the skin while leaving it fresh and rejuvenated. regular use of this foaming face wash makes your skin healthy and glowing.

this foaming face wash has haldi (turmeric) that helps reduce blemishes and rejuvenates the skin via brightening, healing, and antioxidant abilities. 
with chandan (sandalwood), this face wash helps reduce skin inflammation and restore the skin's natural radiance.
this face wash helps to brighten the skin and lighten the dark by reducing tanning & pigmentation.
it comes with a built-in silicone brush that gently cleanses the skin.
free from harsh chemicals like paraben, sulphate, and silicone, this face wash suits all skin types.","Chandan
  / haldi
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/Artboard1copy84.jpg?v=1701858421&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_12ee0be3-eb8b-4393-b021-4c42f37aef33.jpg?v=1704523465&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_55cd74b2-20fc-4f3f-af47-5ec9afedc8f3.jpg?v=1704523465&width=1080"
29361116,Atulya aloe vera gel 200gm,Atulya,399,HOT DEALS,"1,211","This item: atulya aloe vera gel 200gm
Sale price: 239
Atulya rose gel 200gm
Sale price: 299
Atulya amla & bhringraj shampoo - 300ml
Sale price: 324
Atulya vitamin c face serum 30ml
Sale price: 349
","Atulya aloe vera gel is a multi-purpose, light and non-greasy gel for skin & hair. regular use tends to minimize the pigmentation of dark spots and their appearance. it also helps to avoid hair loss and stimulates good hair growth. it helps to reduce noticeable wrinkles and fine lines on the face, leaving the skin beautiful and fresh.
why it's good to use :

exfoliates dead skin cells
repairs acne and pores
maintains the elasticity of the skin
hydrates skin","Aloe
  Vera/ Ashwagandha
1- Wash the face & body prior to use
2- Use the amount required
3- On the face and neck
4- Massage until fully consumed in a circular upward motion","https://myatulya.com/cdn/shop/files/AloeVeraGelNewA_Content-AT-01.jpg?v=1690633991&width=1080, https://myatulya.com/cdn/shop/files/AloeVeraGelNewA_Content-AT-02.jpg?v=1690633990&width=1080, https://myatulya.com/cdn/shop/files/AloeVeraGelNewA_Content-AT-03.jpg?v=1690633990&width=1080, https://myatulya.com/cdn/shop/files/AloeVeraGelNewA_Content-AT-04.jpg?v=1690633990&width=1080"
48047417,Atulya amla & bhringraj hair mask - 200gm,Atulya,499,HOT DEALS,972,"This item: atulya amla & bhringraj hair mask - 200gm
Sale price: 324
Atulya amla & bhringraj conditioner - 300ml
Sale price: 324
Atulya amla & bhringraj shampoo - 300ml
Sale price: 324
Atulya amla & bhringraj hair oil 30ml - freebie
Sale price: 0
","Atulya amla & bhringraj hair mask is made with traditional ayurvedic ingredients that provide endless benefits to your hair by adding strength and shine. this hair mask penetrates deeply into the roots and provides nutrients to keep your hair strong from root to tip. also, it controls hair fall, hair thinning, and breakage. 

this hair mask facilitates hair growth and controls hair from falling.
it helps to improve blood circulation which promotes hair growth.
it penetrates deep within the follicles to make hair healthy and strong.
regular use of this hair mask prevents hair damage caused by uv rays & other pollutants in the atmosphere.
free from harsh chemicals like paraben, sulphate, silicone & mineral oil, this hair mask suits all hair types.","Amla/
  Bhringraj
1- Wet your hair and scalp
2- Apply the hair mask on the length of your hair going from middle to the tip
3- Finger comb your hair to blend the mask properly through the hair
4- Rinse thoroughly with running water","https://myatulya.com/cdn/shop/files/Amla_BhringrajHairMaskA_ContentNew-01.jpg?v=1690870969&width=1080, https://myatulya.com/cdn/shop/files/Amla_BhringrajHairMaskA_ContentNew-02.jpg?v=1690870970&width=1080, https://myatulya.com/cdn/shop/files/Amla_BhringrajHairMaskA_ContentNew-03.jpg?v=1690870970&width=1080, https://myatulya.com/cdn/shop/files/Amla_BhringrajHairMaskA_ContentNew-04.jpg?v=1690870969&width=1080"
