Product ID,Brand,Category,Title,Description,Usage,Packaging,Image URLs
FMLT3PUT,Everest,Blended Spices,Rasam Masala Powder,No description available.,"These days Rasam comes in many 'avataars' from the traditional Lemon Rasam and Tomato Rasam to the more adventurous Garlic and even Pineapple Rasam. Fortunately, the basic recipe remains the same.",50 gms / 100 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
IED0VLJG,Everest,Blended Spices,Pani Puri Masala,"‘Pani’ in Hindi means water. ‘Puri’ is a fried hollow ball made from wheat flour. The ‘Puri’ is
punctured open on one side and stuffed with delicious fillings and topped with Pani. The ‘Puri’ is
then eaten in a mouth full. This is one of India’s most popular outdoor snacks.Black Pepper,
Tamarind and Dry Ginger combine together to give a sharp twinkle to this Everest Blend that spices
the ‘Pani’.",To spice the syrup in Pani-Puri.,15 gms / 50 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
8N71VTWF,Everest,Paste,Ginger Garlic Paste,"Ginger Garlic paste that tastes fresh & delicious just like the homemade one. Made using finest of
the gingers and garlics, this blended delight is a must have for food preparation.","Suitable for all types of Veg/Non-Veg Dishes, Everest Ginger Garlic Paste is used in preparation of curry like stuffed brinjal, chhole, chicken, mutton, fish and egg curry etc. Everest Ginger Garlic Paste is just the right handy must-have for all those who simply don't have the time for elaborate cooking, but would like to prepare delicious, appetizing dishes all the same.","",https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
B2TSE247,Everest,Blended Spices,Super Sambhar Masala,"Sambhar is a unique concoction filled with the wholesome goodness of vegetables and spices. While
numerous styles of preparing this dish exist, here’s a blend of spices with which you can capture
the authentic taste of sambhar, anytime. Everest Super Sambhar! This blend brings the original
flavours of the authentic Sambhar dish in a convenient pack.",Everest Super Sambhar Masala makes it really easy to prepare the tastiest Sambhar.,50 gms / 100 gms / 120 gms / 200  gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
259Y8094,Everest,Blended Spices,Jaljira Powder,"At any Indian feast, Jaljira is a favourite welcome drink, and a natural choice after meals. A
lively mix of spices and condiments that include mint leaf and dry ginger impart a tangy, sizzling
character when mixed with plain water.","It is an ideal appetizer and a great digestive after a heavy eating bout. Jaljira tastes best, chilled. Try with regular soft drinks. It truly perks them up.",50 gms / 100 gms / 200  gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
M99A7581,Everest,Blended Spices,Chaat Masala,"Chaat is a racy blend that gives a wild and lively tweak to the well worn taste of Salads,
Sandwiches, Fresh fruits, Finger chips, Snacks, Soft drinks, Sprouted beans… you name it. Just
sprinkle, and savour, a new kind of excitment.","Sprinkle on Salties, Samosas, Sandwiches, Tikkies, Pizzas, Pakoras, Soft drink, Dahi Wadas, Papris, Burgers, Wafers, Paneer-Tikkas etc.",15 gms / 50 gms / 100 gms / 200  gms / 500 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
EFVSYTF5,Everest,Blended Spices,Tea Masala,"This pepper and ginger based blend gives a very special twist to the taste of tea. The ginger and
pepper elements in the blend adds an extra warmth that can take the chill out on wintry days.","Used most commonly to add a spicy-warm flavour to tea and milk. It is also used to make 'Ukala'*, a drink popular in Western India.

*'Ukala' is a hot brew of milk, water, sugar and a pinch of Everest Tea Masala. Ukala is ideal for those who need to take milk but do not like it plain.",25 gms / 50 gms / 100 gms / 200  gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
L2KYAS4V,Everest,Blended Spices,Rajma Masala,"This wholesome dish needs an authentic touch of spices to make it burst into rich, sumptuous
flavours. Everest Rajma Masala recreates grandma’s secret rajma flavour, spice by pure spice and
brings back the real taste of rajma.",,50 gms / 100 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
1HEH2Y0O,Everest,Blended Spices,Shahi Paneer Masala,"Humble cottage cheese is now just a dash away from its royal transformation. Everest Shahi Paneer
Masala achieves a subtle flavour and royal aroma in every grain, with pure Kashmiri spices.",,50 gms / 100 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
Z8YEKCYR,Everest,Blended Spices,Curry Powder,"The blend of aromas and flavours suits a wide variety of curries, from vegetables to meat and
chicken. Turning any regular dish into an unforgettable treat with ease.

Suitable for all types of Veg/Non-Veg Dishes.",,50 gms / 100 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
8IY5YYJ5,Everest,Blended Spices,Momo Masala,"Momos Masala adds unique taste and mesmerizing aroma to the Momos and is a huge hit among Momos
Lovers.",,50 gms / 100 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
OX8X8QNI,Everest,Blended Spices,Super Garam Masala,An exotic spice-blend that can create culinary-magic in the hands of an expert chef!,"This Masala Mix contains pure, farm-fresh spices, blended in just the right proportions to enliven an array of starters, snacks and gourmet dishes.

Everest Super Garam Masala is the premium choice of thousands of chefs and caterers across India who adds its flavours and aromas to create mouthwatering flavours.

Everest invites you to cook, serve and enjoy these all-time favourites and make many an evening party delicious to remember!",50 gms / 100 gms / 200  gms / 1kg (Pouch) / Bag of 4 kg,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
KXY3O86F,Everest,Blended Spices,Fish Curry Masala,"A fine blend of spices like Chilli, Coriander, Tamarind, Cumin and Garlic, among many more, Everest
Fish Curry Masala lends great taste, colour and texture to your fish curry. The blend uses pure
spices in such accurate measures that it brings out the best in your favourite fish. And makes it
ready in no time!",Everest Fish Curry Masala can be used for preparing a variety of fresh water and sea water fishes. It can be used with a wide range of traditional and innovative recipes.,15 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
HGXXE2X2,Everest,Blended Spices,Meat Masala,"A pepper-coriander-chilli based blend that imparts a dark tan and a hot taste to non-veg dishes,
especially meat. Since Indians love their meat really spiced up, a fair amount of flavouring spices
lend this blend an aromatic chorus.",In all meat preparations requiring a dark gravy.,15 gms / 25 gms / 50 gms / 100 gms / 200  gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
1E1BCO55,Everest,Blended Spices,Chicken Masala,"In this blend, the flavouring agents marginally predominate the taste elements. Consequently the
blend is less steeped in pungency. For chicken curry, this gives the right balance between the
spice-elements and other ingredients in the dish.","Can be used in mildly flavoured non-veg cuisine, particularly those deriving its thickening foundation from tomato and onion.",15 gms / 50 gms / 100 gms / 200  gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
MJ2T2ZXS,Everest,Blended Spices,Egg Curry Masala,"It is a blend of a wide range of spices, like cumin and cinnamon, coriander, cardamom, anistar,
fennel and many more, which gives this blend a complex aroma and flavour.",Everest Egg Curry Masala follows a favourite old recipe for egg curries. And helps to prepare an appetizing dish in minutes!,15 gms / 50 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
5VBENCWY,Everest,Blended Spices,Tandoori Chicken Masala,"This Everest blend strikes an even balance between aromatic and flavouring spice agents to give
chicken a luscious, inviting flavour. Since this blend is used in ‘apply-and-cook-over-the-fire
situations’, the flavouring spices predominate, in order not to dissipate under direct fire.","In most non-veg, marinate-and-cook-over-the-fire preparations such as chicken, fish, etc.",50 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
4REOAWUZ,Everest,Pure Spices,Kashmirilal Chilli Powder,"Fine ground red chillies of the finest quality distinguished by their brilliant red colour and mild
pungency.

Chilli is a heating spice and comes in a wide variety of shapes, sizes, colours, and degrees of
pungency. Chilli is America’s most important contribution to the world of spices, though today it is
one of India’s major export attractions.

Indian chilli is grown in Andhra Pradesh, Maharashtra, Karnataka, Madhya Pradesh, Tamil Nadu and a
number of other States. The highly pungent ‘Guntur’ and the mildly pungent ‘Byadgi’ chillies are
internationally recognised as the finest in quality.",Chillies are used in Indian dishes for their hot taste and reddish colour. Red chilli ground together with coconut gives curry a firm texture. Chillies are a great source of vitamin C and good for digestion.,50 gms / 100 gms / 500 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
74B6MF4W,Everest,Pure Spices,Black Pepper Powder,"Fine ground, highly aromatic Allepey pepper acclaimed for its superb flavour and bite. These ‘bold’
berried peppers are sourced from the erstwhile shipping port ‘Allepey’ – a Southern district of
Kerala.

Pepper has a sharp, hot and biting taste. It’s a warming spice. It is one of the oldest and
important spices in the world. So important, that in ancient times it was used to pay taxes. In 410
A.D, when the Huns lay seige of Rome, 3000 pounds of pepper was demanded as ransom.

India holds a supreme position in the production of pepper. Two of its celebrated varieties are
‘Malabar Garbled’ and ‘Tellichery Extra bold’. The finest Indian pepper is grown in the monsoon
forests of the Malabar coast in Kerala.","Pepper is extensively used in the wintry cusine of North India, to impart warmth and pungency to veg. dishes. In the South, it is used as a flavouring spice in non-veg preparations. Pepper incidently is an important spice in the Indian four-spice classic 'Garam Masala'. Pepper corns boiled in water along with basil leaves, are said to relieve chest congestions and asthematic condition.",50 gms / 100 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
US6T8IUQ,Everest,Pure Spices,Dry Mango Powder,"Made from the choicest of young mangoes in the latest dehydrating technology, Everest Dry Mango
Powder retains the flavour, fragrance and zest of the king of fruits.","Everest Dry Mango Powder is ideal for adding a tangy zing and fragrance of mangoes to a wide range of dishes, salads, beverages and more.",50 gms / 100 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
P43HOGTE,Everest,Pure Spices,Dry Ginger Powder,"Everest Ginger Powder is fine-ground, light yellow, Cochin ginger- renowned for its subtle lemon
like aroma and sharp, biting flavour. It is sourced from the port of Cochin off Kerala’s famed
Malabar Coast.

Ginger has a pungent-lemony, warm-sweet flavour. It’s a warming spice. In the middle ages, ginger
was valued on par with black pepper. A pound of it was worth the price of a sheep.

India is the world’s largest ginger producer. The finest quality ginger – Cochin ginger and Calicut
ginger – comes from Kerala.","Almost all Indian curry recipes include ginger. The traditional method is to chop ginger finely and fry it along with onions. Ginger was one of the man's earliest medicine, much prescribed for treating stomach distress.",100 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
JGWYXEDZ,Everest,Pure Spices,White Pepper Powder,"All peppercorns, be they black, white or green, come from the tropical vine belonging to the plant
famliy ‘Piperaceae’. Although the pepper plant had its origin in India, a large demand for the spice
has necessitated commercial cultivation in several parts of South-East Asia as well.

When fully ripened berries (from the pepper vine), with their outer covering removed, are allowed to
ferment naturally in the sun – the result is creamy, white peppercorns.

Pepper has a sharp, hot and biting taste. It’s a warming spice. It is one of the oldest and
important spices in the world. So important, that in ancient times it was used to pay taxes. In 410
A.D, when the Huns lay seige of Rome, 3000 pounds of pepper was demanded as ransom.

India holds a supreme position in the production of pepper. Two of its celebrated varieties are
‘Malabar Garbled’ and ‘Tellichery Extra bold’. The finest Indian pepper is grown in the monsoon
forests of the Malabar coast in Kerala.","Pepper is extensively used in the wintry cusine of North India, to impart warmth and pungency to veg. dishes. In the South, it is used as a flavouring spice in non-veg preparations. Pepper incidently is an important spice in the Indian four-spice classic 'garam masala'. Pepper corns boiled in water along with basil leaves, are said to relieve chest congestions and asthematic condition.",50 gms / 100 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
86D3FTZ2,Everest,Pure Spices,Kasuri Methi,"Fenugreek herb which is dried in hot air in controlled conditions, is a great taste enhancer. It
adds flavour and texture to vegetables, pulses and lentils, parathas and chapattis.",Soak the Everest Kasuri Methi in boiling water with a pinch of salt. And then blend it into a wide variety of dishes for the delectable aroma of pure Kasuri Methi.,25 gms / 100 gms / 200  gms / 500 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
DG48QSP8,Everest,Pure Spices,Coriander Powder,"A perfect blend of garden-fresh aroma and natural green colour. This variety is widely used to give
Indian curries its distinct curry flavour.

Coriander has a flavour which combines lemon and sage, with a sweet-note as undertone. It’s a
cooling spice. The Greek and the Romans thought it to be an aphrodisiac. By the third Century B.C
the Romans knew it was an excellent seasoning for food.

Coriander is native to the Mediterranean area. In India, Gujarat, Rajasthan, Andhra Pradesh, Tamil
Nadu and Madhya Pradesh are the major producers.","In Indian cuisine, coriander is mainly used for taste. Frying, roast-ground coriander powder in oil gives the characteristic 'curry' flavour. Coriander seeds have diuretic properties. It alleviates gas and tones the digestive tract.",50 gms / 100 gms / 200  gms / 500 gms / Jar 1 kg,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
TI0CBSBC,Everest,Pure Spices,Cumin Powder,"Sourced from the well drained, loamy regions of Gujarat and Rajasthan. This type is much valued for
its high percentage of essential oil content that gives it an intense flavour.

Cumin seeds has a penetrating musty, earthy flavour. It’s a cooling spice. In the middle ages, cumin
was believed to keep lovers faithful and chicken from straying. More recently, cumin has become
popular because of its use in Mexican cooking.

A native of Egypt and the Mediterranean, cumin is now mostly produced in India. Gujarat, Rajasthan
and Uttar Pradesh are the prominent producers.",Roasted very briefly on low fire (for only a minute) on a tawa (girdle) and then ground into powder helps release its flavour more fully. Cumin is considered a digestive.,50 gms / 100 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
7IKO687E,Everest,Pure Spices,Kutilal,"A coarse-ground red chilly powder of the finest quality, distinguished by their bright red colour
and mild pungency.

Chilli is a heating spice and comes in a wide variety of shapes, sizes, colours, and degrees of
pungency. Chilli is America’s most important contribution to the world of spices, though today it is
one of India’s major export attractions.

Indian chilli is grown in Andhra Pradesh, Maharashtra, Karnataka, Madhya Pradesh, Tamil Nadu and a
number of other States. The highly pungent ‘Guntur’ and the mildly pungent ‘Byadgi’ chillies are
internationally recognised as the finest in quality.",Chillies are used in Indian dishes for their hot taste and reddish colour. Red chilli ground together with coconut gives curry a firm texture. Chillies are a great source of vitamin C and good for digestion.,100 gms / 200  gms / 500 gms / Jar 1 kg,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
VP9KWN3N,Everest,Pure Spices,Turmeric Powder,"A garden-fresh turmeric powder that has a golden-yellow colour. Known for its high carcumin (colour
property) content. It is a popular variety in India, where turmeric is used as a key colouring agent
in ‘curries’.

Turmeric has a mild, earthy and woody flavour. It stimulates protein digestion, and is an excellent
blood purifier. The use of turmeric as a colouring agent in food dates back as far as 600 B.C. In
medieval Europe, turmeric was known as Indian Saffron.","The Hindus in India use turmeric to marinate fish before cooking. Turmeric is both used as a colouring and flavouring agent in Indian cuisine. Solutions of turmeric have long been used in the treatment of wounds, eye infections and common cold.",50 gms / 100 gms / 200  gms / 500 gms / Jar 1 kg,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
H3UYEVT8,Everest,Pure Spices,Tikhalal,"A fine-ground chilli powder that is a perfect blend of colour and pungency.

Chilli is a heating spice and comes in a wide variety of shapes, sizes, colours, and degrees of
pungency. Chilli is America’s most important contribution to the world of spices, though today it is
one of India’s major export attractions.

Indian chilli is grown in Andhra Pradesh, Maharashtra, Karnataka, Madhya Pradesh, Tamil Nadu and a
number of other States. The highly pungent ‘Guntur’ and the mildly pungent ‘Byadgi’ chillies are
internationally recognised as the finest in quality.",Chillies are used in Indian dishes for their hot taste and reddish colour. Red chilli ground together with coconut gives curry a firm texture. Chillies are a great source of vitamin C and good for digestion.,50 gms / 100 gms / 200  gms / 500 gms / Jar 1 kg,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
QOCOBZ19,Everest,Asafoetida,Hingraj Powder,"An amber coloured resin extracted from the root or stem of a perennial plant, Hing plays many roles
in many cultures. Scientifically called Ferula Asafoetida, Hing has been used as widely as in
ancient Persia, Greece, Africa and India. From being used in black magic or warding away the evil
eye to soothing stomach ailments, this spice has significant contribution to cultures around the
world. But in cuisines, its pungent and strong aroma is put to good use as a replacement for onion
and garlic. It gives off a smooth and robust flavour when released in hot oil. Today it is more
commonly available in compounded forms.",Everest Black Hing is perfect for a richer and stronger flavour in vegetable dishes.,25 gms / 50 gms / 100 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
6YTDCJZ7,Everest,Asafoetida,Hing Powder (Yellow),"An amber coloured resin extracted from the root or stem of a perennial plant, Hing plays many roles
in many cultures. Scientifically called Ferula Asafoetida, Hing has been used as widely as in
ancient Persia, Greece, Africa and India. From being used in black magic or warding away the evil
eye to soothing stomach ailments, this spice has significant contribution to cultures around the
world. But in cuisines, its pungent and strong aroma is put to good use as a replacement for onion
and garlic. It gives off a smooth and robust flavour when released in hot oil. Today it is more
commonly available in compounded forms.",Everest Black Hing is perfect for a richer and stronger flavour in vegetable dishes.,25 gms / 50 gms / 100 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
8IC1COOZ,Everest,Exotic Range,Kesari Milk Masala,"An exotic, nuts and spices blend. Added to milk, it makes for a wholesome and nourishing drink.
Children find its taste irresistible. Chilled or hot, it makes a rich drink fit to be served to
guests and friends.","Can be used for garnishing Kulfi, Rasmalai, and various other Indian sweet meats.",10 gms / 20 gms / 50 gms / 100 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
IKL46S6T,Everest,Exotic Range,Saffron,"Saffron has a pleasantly bitter flavour. It’s a cooling spice. It is one of the most expensive
spices in the world. 225,000 stigmas of the crocus flower go to make one pound of saffron. The
Greeks and Romans used saffron to perfume their baths. Saffron is also useful as a dye.

Found in the Mediterranean area, Spain is the main exporter. Indian saffron is cultivated chiefly in
the Jammu & Kashmir valley. Moderate climate, organic-rich soil, excellent drainage in the valley
make Indian saffron superior to its foreign counterparts.","Saffron is much used in Indian Moghlai dishes, Biryani, Pulav, Kesari Chicken, Kesari Kulfi etc. Saffron need to be soaked in a little warm water or milk to infuse.",0.5 gms / 1 gms / 2 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
L8TT1YYS,Everest,Tasteeto,Pasta Spice Mix,"Discover the authentic taste of Italian flavours with Everest Tasteeto’s Pasta Spice mix. Blended
with exotic herbs and spices to give you the perfect taste of Italian Countryside. Happy Flavouring!",,38 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2022/03/Pasta-spice-mix-Listing-featured.png
VYSTO4FR,Everest,Tasteeto,Oregano,"Discover the art of Mediterranean & Italian style of cooking with Everest Tasteeto’s Oregano. The
pure freshness and aroma of dried leaves in your vegetables & salads intensifies the flavours making
you say “Oh! Regano”! Happy Flavouring!",,10 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2022/03/Product-Listing-Oregano.png
SXC44ZUE,Everest,Tasteeto,Mixed Herbs,"Bringing together from the best of farms- carefully chosen, hygienically packed exotic blend of
Basil, Oregano, Parsley, Thyme, Sage & Rosemary to give your food a robust aroma and flavour. Ideal
for all cuisines -Italian, Continental, Mediterranean. Happy Flavouring!",,12 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2022/03/Product-Listing-Mixed-Herbs.png
HFFQS3XM,Everest,Tasteeto,Pizza Spice Mix,"Experience the magic of creating Italian Pizzas with Everest Tasteeto’s Pizza Spice Mix. A Perfect
blend of herbs, garlic and salt makes your pizza absolutely delicious. Happy Flavouring!",,38 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2022/03/Product-Listing-Pizza-spice-mix.png
