title,price,brand,story_description,category,sub_category,image_urls,size_title,size,description,id
Bright White Striped Premium Cotton Crop Top,"1,097",Frenchcrown," Story This sleeveless striped white crop top is made from premium cotton, ensuring maximum comfort
and breathability. The soft and lightweight fabric drapes beautifully on the skin, making it a
versatile addition to your wardrobe. The classic white colour goes well with any outfit and can be
dressed up or down for any occasion. With its flattering and stylish fit, this crop top is perfect
for wearing on its own or layering under jackets and blazers. Invest in this premium cotton crop top
for a comfortable and stylish staple that you'll reach for time and time again.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WTP024_1_360x.jpg?v=1679387348, https://frenchcrown.in/cdn/shop/products/WTP024_1_800x.jpg?v=1679387348, https://frenchcrown.in/cdn/shop/products/WTP024_2_800x.jpg?v=1679387347, https://frenchcrown.in/cdn/shop/products/WTP024_4_800x.jpg?v=1679387347, https://frenchcrown.in/cdn/shop/products/WTP024_5_800x.jpg?v=1679387346, https://frenchcrown.in/cdn/shop/products/WTP024_6_800x.jpg?v=1679387347, https://frenchcrown.in/cdn/shop/products/WTP024_7_800x.jpg?v=1679387346, https://frenchcrown.in/cdn/shop/products/WTP024_8_800x.jpg?v=1679387345, https://frenchcrown.in/cdn/shop/products/WTP024_9_800x.jpg?v=1679387347, https://frenchcrown.in/cdn/shop/products/WTP024_10_800x.jpg?v=1679387348",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"This sleeveless striped white crop top is made from premium cotton, ensuring maximum comfort and
breathability. The soft and lightweight fabric drapes beautifully on the skin, making it a versatile
addition to your wardrobe. The classic white colour goes well with any outfit and can be dressed up
or down for any occasion. With its flattering and stylish fit, this crop top is perfect for wearing
on its own or layering under jackets and blazers. Invest in this premium cotton crop top for a
comfortable and stylish staple that you'll reach for time and time again.",1679387348
Nutmeg Brown Jumpsuit,"1,597",Frenchcrown," Story Make people stop and stare as you don this beautiful jumpsuit from the French Crown. Tailored
using premium lightweight and durable material, it features a v-neckline with a back opening and
full sleeves that gives you a bold and chic look.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WD010_1_360x.jpg?v=1679379821, https://frenchcrown.in/cdn/shop/products/WD010_1_800x.jpg?v=1679379821, https://frenchcrown.in/cdn/shop/products/WD010_2_800x.jpg?v=1679379819, https://frenchcrown.in/cdn/shop/products/WD010_3_800x.jpg?v=1679379820, https://frenchcrown.in/cdn/shop/products/WD010_4_800x.jpg?v=1679379822, https://frenchcrown.in/cdn/shop/products/WD010_5_800x.jpg?v=1679379818, https://frenchcrown.in/cdn/shop/products/WD010_6_800x.jpg?v=1679379823, https://frenchcrown.in/cdn/shop/products/WD010_7_800x.jpg?v=1679379818, https://frenchcrown.in/cdn/shop/products/WD010_8_800x.jpg?v=1679379823, https://frenchcrown.in/cdn/shop/products/WD010_9_800x.jpg?v=1679379819, https://frenchcrown.in/cdn/shop/products/WD010_10_800x.jpg?v=1679379822",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"Make people stop and stare as you don this beautiful jumpsuit from the French Crown. Tailored using
premium lightweight and durable material, it features a v-neckline with a back opening and full
sleeves that gives you a bold and chic look.",1679379821
Bright White and Black Checkered Premium Cotton Crop Top,897,Frenchcrown," Story This Bright White and Black Premium Cotton Crop Top is the perfect addition to your summer
wardrobe. Made from high-quality cotton, this crop top promises ultimate comfort and breathability.
The rich white and black colour adds a touch of sophistication, making it suitable for a range of
occasions. Whether dressed up with a stylish jacket for a night out or paired with shorts for a
casual daytime look, this sleeveless crop top will keep you looking stylish and feeling confident.
So why wait? Get your hands on this amazing Crop Top today!",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WTP011_1_360x.jpg?v=1679386941, https://frenchcrown.in/cdn/shop/products/WTP011_1_800x.jpg?v=1679386941, https://frenchcrown.in/cdn/shop/products/WTP011_2_800x.jpg?v=1679386941, https://frenchcrown.in/cdn/shop/products/WTP011_4_800x.jpg?v=1679386941, https://frenchcrown.in/cdn/shop/products/WTP011_5_800x.jpg?v=1679386941, https://frenchcrown.in/cdn/shop/products/WTP011_6_800x.jpg?v=1679386942, https://frenchcrown.in/cdn/shop/products/WTP011_7_800x.jpg?v=1679386940",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"This Bright White and Black Premium Cotton Crop Top is the perfect addition to your summer wardrobe.
Made from high-quality cotton, this crop top promises ultimate comfort and breathability. The rich
white and black colour adds a touch of sophistication, making it suitable for a range of occasions.
Whether dressed up with a stylish jacket for a night out or paired with shorts for a casual daytime
look, this sleeveless crop top will keep you looking stylish and feeling confident. So why wait? Get
your hands on this amazing Crop Top today!",1679386941
Stonewall Brown Leopard Printed Viscose Bottomwear,"1,597",Frenchcrown," Story Make your evening more special by donning these stylish leopard stripes bottom wear from
French Crown. It is made of viscose material, which is known for its soft and flowing qualities.
Wear it with sneakers and you are all set to take on the world.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WOT015_1_360x.jpg?v=1675512625, https://frenchcrown.in/cdn/shop/products/WOT015_1_800x.jpg?v=1675512625, https://frenchcrown.in/cdn/shop/products/WOT015_2_800x.jpg?v=1679377622, https://frenchcrown.in/cdn/shop/products/WOT015_4_800x.jpg?v=1679377622, https://frenchcrown.in/cdn/shop/products/WOT015_5_800x.jpg?v=1679377622",Select Size,XS / 24|S / 26|M / 28|L / 30|XL / 32|XXL / 34,"Make your evening more special by donning these stylish leopard stripes bottom wear from French
Crown. It is made of viscose material, which is known for its soft and flowing qualities. Wear it
with sneakers and you are all set to take on the world.",1675512625
Bright White striped Premium Cotton Crop Top,"1,147",Frenchcrown," Story This sleeveless striped white crop top is made from premium cotton, ensuring maximum comfort
and breathability. The soft and lightweight fabric drapes beautifully on the skin, making it a
versatile addition to your wardrobe. The classic white colour goes well with any outfit and can be
dressed up or down for any occasion. With its flattering and stylish fit, this crop top is perfect
for wearing on its own or layering under jackets and blazers. Invest in this premium cotton crop top
for a comfortable and stylish staple that you'll reach for time and time again.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WTP023_1_360x.jpg?v=1679387323, https://frenchcrown.in/cdn/shop/products/WTP023_1_800x.jpg?v=1679387323, https://frenchcrown.in/cdn/shop/products/WTP023_2_800x.jpg?v=1679387322, https://frenchcrown.in/cdn/shop/products/WTP023_4_800x.jpg?v=1679387322, https://frenchcrown.in/cdn/shop/products/WTP023_5_800x.jpg?v=1679387322, https://frenchcrown.in/cdn/shop/products/WTP023_6_800x.jpg?v=1679387323, https://frenchcrown.in/cdn/shop/products/WTP023_7_800x.jpg?v=1679387321, https://frenchcrown.in/cdn/shop/products/WTP023_8_800x.jpg?v=1679387321",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"This sleeveless striped white crop top is made from premium cotton, ensuring maximum comfort and
breathability. The soft and lightweight fabric drapes beautifully on the skin, making it a versatile
addition to your wardrobe. The classic white colour goes well with any outfit and can be dressed up
or down for any occasion. With its flattering and stylish fit, this crop top is perfect for wearing
on its own or layering under jackets and blazers. Invest in this premium cotton crop top for a
comfortable and stylish staple that you'll reach for time and time again.",1679387323
Juniper Green Subtle Sheen Women's Pant,"2,597",Frenchcrown," Story Reinvent your formal look with these solid green women's pants from French Crown. These chic
outfits will surely be a noteworthy addition to your wardrobe, featuring a flat front, slanted side
pockets, and hook and button closure.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WOT010_1_360x.jpg?v=1675420089, https://frenchcrown.in/cdn/shop/products/WOT010_1_800x.jpg?v=1675420089, https://frenchcrown.in/cdn/shop/products/WOT010_2_800x.jpg?v=1675420090, https://frenchcrown.in/cdn/shop/products/WOT010_4_800x.jpg?v=1675420092, https://frenchcrown.in/cdn/shop/products/WOT010_5_800x.jpg?v=1679377600, https://frenchcrown.in/cdn/shop/products/WOT010_6_800x.jpg?v=1679377600",Select Size,XS / 24|S / 26|M / 28|L / 30|XL / 32|XXL / 34,"Reinvent your formal look with these solid green women's pants from French Crown. These chic outfits
will surely be a noteworthy addition to your wardrobe, featuring a flat front, slanted side pockets,
and hook and button closure.",1675420089
Gravel Gray Subtle Sheen Double Breasted Women's Suit,"8,497",Frenchcrown," Story This solid gray suit from the house of French Crown will for sure be on the wish list of any
fashion connoisseur. It comes with a peak lapel collar that adds a touch of exclusivity to its
design. Tailored using premium quality fabric, this double-breasted suit is made using regular-fit
and is extremely comfortable to wear.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WST012-DB_1_360x.jpg?v=1679115717, https://frenchcrown.in/cdn/shop/products/WST012-DB_1_800x.jpg?v=1679115717, https://frenchcrown.in/cdn/shop/products/WST012-DB_2_800x.jpg?v=1679115717, https://frenchcrown.in/cdn/shop/products/WST012-DB_4_800x.jpg?v=1679115717, https://frenchcrown.in/cdn/shop/products/WST012-DB_5_800x.jpg?v=1679115717, https://frenchcrown.in/cdn/shop/products/WST012-DB_6_800x.jpg?v=1679115717, https://frenchcrown.in/cdn/shop/products/WST012-DB_7_800x.jpg?v=1679115717, https://frenchcrown.in/cdn/shop/products/WST012-DB_GREY_8_800x.jpg?v=1679115717, https://frenchcrown.in/cdn/shop/products/WST012-DB_GREY_9_800x.jpg?v=1679115717, https://frenchcrown.in/cdn/shop/products/WST012-DB_GREY_10_800x.jpg?v=1679115717, https://frenchcrown.in/cdn/shop/products/WST012-DB_GREY_11_800x.jpg?v=1679115717, https://frenchcrown.in/cdn/shop/products/WST012-DB_GREY_12_800x.jpg?v=1679115717",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"This solid gray suit from the house of French Crown will for sure be on the wish list of any fashion
connoisseur. It comes with a peak lapel collar that adds a touch of exclusivity to its design.
Tailored using premium quality fabric, this double-breasted suit is made using regular-fit and is
extremely comfortable to wear.",1679115717
Charade Navy Blue Subtle Sheen Women's Pant,"2,597",Frenchcrown," Story These pants from the house of French Crown will for sure be on the wish list of any fashion
connoisseur. These pants come with a flat front and slanted side pockets that adds a touch of
exclusivity to its design. Tailored from premium quality fabric, these pants are made using
regular-fit and are extremely comfortable to wear.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WOT009_1_360x.jpg?v=1675420090, https://frenchcrown.in/cdn/shop/products/WOT009_1_800x.jpg?v=1675420090, https://frenchcrown.in/cdn/shop/products/WOT009_2_800x.jpg?v=1675420088, https://frenchcrown.in/cdn/shop/products/WOT009_4_800x.jpg?v=1675420088, https://frenchcrown.in/cdn/shop/products/WOT009_5_800x.jpg?v=1679377598, https://frenchcrown.in/cdn/shop/products/WOT009_6_800x.jpg?v=1679377598",Select Size,XS / 24|S / 26|M / 28|L / 30|XL / 32|XXL / 34,"These pants from the house of French Crown will for sure be on the wish list of any fashion
connoisseur. These pants come with a flat front and slanted side pockets that adds a touch of
exclusivity to its design. Tailored from premium quality fabric, these pants are made using regular-
fit and are extremely comfortable to wear.",1675420090
Bright White with Black Premium Cotton Women's Pant,"2,597",Frenchcrown," Story These pants from the house of French Crown will for sure be on the wish list of any fashion
connoisseur. These pants come with a flat front and slanted side pockets that add a touch of
exclusivity to its design. Tailored from pure cotton fabric, these pants are made using regular-fit
and are extremely comfortable to wear.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WOT005_1_360x.jpg?v=1675420069, https://frenchcrown.in/cdn/shop/products/WOT005_1_800x.jpg?v=1675420069, https://frenchcrown.in/cdn/shop/products/WOT005_2_800x.jpg?v=1675420068, https://frenchcrown.in/cdn/shop/products/WOT005_4_800x.jpg?v=1675420069, https://frenchcrown.in/cdn/shop/products/WOT005_5_800x.jpg?v=1679377589, https://frenchcrown.in/cdn/shop/products/WOT005_6_800x.jpg?v=1679377589",Select Size,XS / 24|S / 26|M / 28|L / 30|XL / 32|XXL / 34,"These pants from the house of French Crown will for sure be on the wish list of any fashion
connoisseur. These pants come with a flat front and slanted side pockets that add a touch of
exclusivity to its design. Tailored from pure cotton fabric, these pants are made using regular-fit
and are extremely comfortable to wear.",1675420069
Bright White with Black Patch Collar Premium Cotton Women's Suit,"8,497",Frenchcrown," Story This suit from the house of French Crown will for sure be on the wish list of any fashion
connoisseur. It comes with black patches, while the notched lapel collar adds a touch of exclusivity
to its design. Tailored from pure cotton fabric, this suit is made using regular-fit and is
extremely comfortable to wear.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WST-5-BKL_WHITECOTTON_1_360x.jpg?v=1679115860, https://frenchcrown.in/cdn/shop/products/WST-5-BKL_WHITECOTTON_1_800x.jpg?v=1679115860, https://frenchcrown.in/cdn/shop/products/WST-5-BKL_WHITECOTTON_2_800x.jpg?v=1679115860, https://frenchcrown.in/cdn/shop/products/WST-5-BKL_WHITECOTTON_4_800x.jpg?v=1679115860, https://frenchcrown.in/cdn/shop/products/WST-5-BKL_WHITECOTTON_5_800x.jpg?v=1679115860, https://frenchcrown.in/cdn/shop/products/WST-5-BKL_WHITECOTTON_6_800x.jpg?v=1679115860, https://frenchcrown.in/cdn/shop/products/WST-5-BKL_WHITECOTTON_7_800x.jpg?v=1679115860, https://frenchcrown.in/cdn/shop/products/WST-5-BKL_WHITECOTTON_8_800x.jpg?v=1679115860, https://frenchcrown.in/cdn/shop/products/WST005-SB-BKPL_WHITECOTTON_9_800x.jpg?v=1679115860, https://frenchcrown.in/cdn/shop/products/WST005-SB-BKPL_WHITECOTTON_10_800x.jpg?v=1679115860, https://frenchcrown.in/cdn/shop/products/WST005-SB-BKPL_WHITECOTTON_11_800x.jpg?v=1679115860, https://frenchcrown.in/cdn/shop/products/WST005-SB-BKPL_WHITECOTTON_12_800x.jpg?v=1679115860, https://frenchcrown.in/cdn/shop/products/WST005-SB-BKPL_WHITECOTTON_13_800x.jpg?v=1679115860",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"This suit from the house of French Crown will for sure be on the wish list of any fashion
connoisseur. It comes with black patches, while the notched lapel collar adds a touch of exclusivity
to its design. Tailored from pure cotton fabric, this suit is made using regular-fit and is
extremely comfortable to wear.",1679115860
Bright White Subtle Sheen Single Breasted Women's Suit,"8,497",Frenchcrown," Story Reinvent your formal look and get your layering on point with this solid white women's suit
from French Crown. This chic outfit will surely be a noteworthy addition to your wardrobe, featuring
a notched lapel collar, single-breasted closure, and long sleeves.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WST004-SB_1_360x.jpg?v=1679115835, https://frenchcrown.in/cdn/shop/products/WST004-SB_1_800x.jpg?v=1679115835, https://frenchcrown.in/cdn/shop/products/WST004-SB_2_800x.jpg?v=1679115835, https://frenchcrown.in/cdn/shop/products/WST004-SB_4_800x.jpg?v=1679115835, https://frenchcrown.in/cdn/shop/products/WST004-SB_5_800x.jpg?v=1679115835, https://frenchcrown.in/cdn/shop/products/WST004-SB_6_800x.jpg?v=1679115835, https://frenchcrown.in/cdn/shop/products/WST004-SB_7_800x.jpg?v=1679115835, https://frenchcrown.in/cdn/shop/products/WST004-SB_8_800x.jpg?v=1679115835, https://frenchcrown.in/cdn/shop/products/WST004-SB_9_800x.jpg?v=1679115835, https://frenchcrown.in/cdn/shop/products/WST004-SB_WHITEPV_-_10_800x.jpg?v=1679115835, https://frenchcrown.in/cdn/shop/products/WST004-SB_WHITEPV_-_11_800x.jpg?v=1679115835, https://frenchcrown.in/cdn/shop/products/WST004-SB_WHITEPV_-_12_800x.jpg?v=1679115835, https://frenchcrown.in/cdn/shop/products/WST004-SB_WHITEPV_-_13_800x.jpg?v=1679115835, https://frenchcrown.in/cdn/shop/products/WST004-SB_WHITEPV_-_14_800x.jpg?v=1679115835",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"Reinvent your formal look and get your layering on point with this solid white women's suit from
French Crown. This chic outfit will surely be a noteworthy addition to your wardrobe, featuring a
notched lapel collar, single-breasted closure, and long sleeves.",1679115835
Bright White with Butterfly Bush Blue Printed Super Soft Premium Cotton Women’s Shirt,"2,297",Frenchcrown," Story Featuring a unique and elegant Bright White color, our Printed Super Soft Premium Cotton
Women's Shirt is perfect for adding a touch of sophistication to your wardrobe. The print is
designed to be durable and long-lasting, ensuring that your shirt stays looking great wash after
wash. So why wait? Elevate your wardrobe with our Merino Beige Printed Super Soft Premium Cotton
Women's Shirt today and experience the perfect combination of style and comfort!",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/files/WS063-FP_1_360x.jpg?v=1683267972, https://frenchcrown.in/cdn/shop/files/WS063-FP_1_800x.jpg?v=1683267972, https://frenchcrown.in/cdn/shop/files/WS063-FP_2_800x.jpg?v=1683267972, https://frenchcrown.in/cdn/shop/files/WS063-FP_4_800x.jpg?v=1683267972, https://frenchcrown.in/cdn/shop/files/WS063-FP_5_800x.jpg?v=1683267972, https://frenchcrown.in/cdn/shop/files/WS063-FP_6_800x.jpg?v=1683267972, https://frenchcrown.in/cdn/shop/files/WS063-FP_7_800x.jpg?v=1683267972, https://frenchcrown.in/cdn/shop/files/WS063-FP_8_800x.jpg?v=1683267972, https://frenchcrown.in/cdn/shop/files/WS063-FP_10_800x.jpg?v=1683267972, https://frenchcrown.in/cdn/shop/files/WS063-FP_11_800x.jpg?v=1683267972, https://frenchcrown.in/cdn/shop/files/WS063-FP_12_800x.jpg?v=1683267972, https://frenchcrown.in/cdn/shop/files/WS063-FP_13_800x.jpg?v=1683267972",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"Featuring a unique and elegant Bright White color, our Printed Super Soft Premium Cotton Women's
Shirt is perfect for adding a touch of sophistication to your wardrobe. The print is designed to be
durable and long-lasting, ensuring that your shirt stays looking great wash after wash. So why wait?
Elevate your wardrobe with our Merino Beige Printed Super Soft Premium Cotton Women's Shirt today
and experience the perfect combination of style and comfort!",1683267972
Thunder Violet Premium Cotton Shirt,"1,797",Frenchcrown," Story Look chic donning this stunning violet shirt to elevate your outfit. Tailored using top notch
pure cotton fabric, this piece looks best when paired with high waisted denims, bracelets and heels
for brunch with friends.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WS038-BLK_1_360x.jpg?v=1679386373, https://frenchcrown.in/cdn/shop/products/WS038-BLK_1_800x.jpg?v=1679386373, https://frenchcrown.in/cdn/shop/products/WS038-BLK_2_800x.jpg?v=1679386373, https://frenchcrown.in/cdn/shop/products/WS038-BLK_4_800x.jpg?v=1679386373, https://frenchcrown.in/cdn/shop/products/WS038-BLK_5_800x.jpg?v=1679386373, https://frenchcrown.in/cdn/shop/products/WS038-BLK_6_800x.jpg?v=1679386373, https://frenchcrown.in/cdn/shop/products/WS038-BLK_7_800x.jpg?v=1679386373, https://frenchcrown.in/cdn/shop/products/WS038-BLK_1_4a89fd54-1ba5-4033-9540-d4e95e3ce155_800x.jpg?v=1679386373, https://frenchcrown.in/cdn/shop/products/WS038-BLK_2_ca82063b-d7cc-4c8b-a0b1-931dcf2bf71f_800x.jpg?v=1679386373, https://frenchcrown.in/cdn/shop/products/WS038-BLK_4_62b51a79-648d-457c-ab36-1c48bfe90c51_800x.jpg?v=1679386373, https://frenchcrown.in/cdn/shop/products/WS038-BLK_5_4e2c5c22-a2b4-4f79-8dc8-a59dd16fe959_800x.jpg?v=1679386373, https://frenchcrown.in/cdn/shop/products/WS038-BLK_6_ed15021c-7116-4a4d-b7ef-695b8584bb9c_800x.jpg?v=1679386373, https://frenchcrown.in/cdn/shop/products/WS038-BLK_8_800x.jpg?v=1679386373",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"Look chic donning this stunning violet shirt to elevate your outfit. Tailored using top notch pure
cotton fabric, this piece looks best when paired with high waisted denims, bracelets and heels for
brunch with friends.",1679386373
Timberwolf Cream with Scorpion Brown Super Soft Premium Cotton Thigh Length Dress,"2,397",Frenchcrown," Story This fashion piece boasts a delightful combination of warm earthy tones and a cozy, plush
texture. The pure cotton fabric provides a super-soft and luxurious feel, while the thigh-length cut
exudes a chic and sophisticated look. So what are you waiting for? Take advantage of this amazing
piece today and elevate your summer experience to the fullest.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/files/WD034_1_360x.jpg?v=1683630746, https://frenchcrown.in/cdn/shop/files/WD034_1_800x.jpg?v=1683630746, https://frenchcrown.in/cdn/shop/files/WD034_2_800x.jpg?v=1683630746, https://frenchcrown.in/cdn/shop/files/WD034_4_800x.jpg?v=1683630747, https://frenchcrown.in/cdn/shop/files/WD034_5_800x.jpg?v=1683630747, https://frenchcrown.in/cdn/shop/files/WD034_6_800x.jpg?v=1683630745, https://frenchcrown.in/cdn/shop/files/WD034_7_800x.jpg?v=1683630747, https://frenchcrown.in/cdn/shop/files/WD034_8_800x.jpg?v=1683630745",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"This fashion piece boasts a delightful combination of warm earthy tones and a cozy, plush texture.
The pure cotton fabric provides a super-soft and luxurious feel, while the thigh-length cut exudes a
chic and sophisticated look. So what are you waiting for? Take advantage of this amazing piece today
and elevate your summer experience to the fullest.",1683630746
Caper Green Aeroplane Printed Premium Cotton Shirt,"1,597",Frenchcrown," Story Look chic donning this stunning aeroplane printed shirt to elevate your outfit. Tailored
using top notch pure cotton fabric, this piece looks best when paired with high waisted denims,
bracelets and heels for brunch with friends.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WS040-M_1_360x.jpg?v=1679386339, https://frenchcrown.in/cdn/shop/products/WS040-M_1_800x.jpg?v=1679386339, https://frenchcrown.in/cdn/shop/products/WS040-M_2_800x.jpg?v=1679386339, https://frenchcrown.in/cdn/shop/products/WS040-M_4_800x.jpg?v=1679386339, https://frenchcrown.in/cdn/shop/products/WS040-M_5_800x.jpg?v=1679386339, https://frenchcrown.in/cdn/shop/products/WS040-M_6_800x.jpg?v=1679386339, https://frenchcrown.in/cdn/shop/products/WS040-M_1_68a1d804-7b64-452d-bf83-2daf2f2310d6_800x.jpg?v=1679386339, https://frenchcrown.in/cdn/shop/products/WS040-M_2_60a566da-00dc-4b0f-8608-4d2b89c1835f_800x.jpg?v=1679386339, https://frenchcrown.in/cdn/shop/products/WS040-M_4_2d8dcf77-eb7e-4a8e-bf1d-b7e555117448_800x.jpg?v=1679386339, https://frenchcrown.in/cdn/shop/products/WS040-M_5_38c64e6f-503a-46ad-ab81-466efebd942d_800x.jpg?v=1679386339, https://frenchcrown.in/cdn/shop/products/WS040-M_6_71bdc02c-8f2b-4b33-b172-8dc2afef1dde_800x.jpg?v=1679386339, https://frenchcrown.in/cdn/shop/products/WS040-M_7_800x.jpg?v=1679386339",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"Look chic donning this stunning aeroplane printed shirt to elevate your outfit. Tailored using top
notch pure cotton fabric, this piece looks best when paired with high waisted denims, bracelets and
heels for brunch with friends.",1679386339
Mulberry Pink Viscose Crop Top,"1,097",Frenchcrown," Story Make your evening more special by donning this stylish crop top from French Crown. It is made
of viscose material, which is known for its soft and flowing qualities, and features a solid Pink
pattern. Wear it with sneakers and you are all set to take on the world.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WTP028_1_360x.jpg?v=1679387070, https://frenchcrown.in/cdn/shop/products/WTP028_1_800x.jpg?v=1679387070, https://frenchcrown.in/cdn/shop/products/WTP028_2_800x.jpg?v=1679387070, https://frenchcrown.in/cdn/shop/products/WTP028_4_800x.jpg?v=1679387071, https://frenchcrown.in/cdn/shop/products/WTP028_5_800x.jpg?v=1679387070, https://frenchcrown.in/cdn/shop/products/WTP028_6_800x.jpg?v=1679387070, https://frenchcrown.in/cdn/shop/products/WTP028_7_800x.jpg?v=1679387070",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"Make your evening more special by donning this stylish crop top from French Crown. It is made of
viscose material, which is known for its soft and flowing qualities, and features a solid Pink
pattern. Wear it with sneakers and you are all set to take on the world.",1679387070
Iridium Gray Premium Cotton Denim Shirt,"1,597",Frenchcrown," Story When you want a work closet that’s stylish, and a bit romantic, make this solid shirt your
business. Whether taking the project lead, flavouring your coffee, or simply moving out with the
girls for after-office drinks, you do so in style with French Crown’s premium cotton denim shirt
that can be styled multiple ways.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WS013-BLK_1_360x.jpg?v=1679388087, https://frenchcrown.in/cdn/shop/products/WS013-BLK_1_800x.jpg?v=1679388087, https://frenchcrown.in/cdn/shop/products/WS013-BLK_2_800x.jpg?v=1679388087, https://frenchcrown.in/cdn/shop/products/WS013-BLK_4_800x.jpg?v=1679388087, https://frenchcrown.in/cdn/shop/products/WS013-BLK_5_800x.jpg?v=1679388087, https://frenchcrown.in/cdn/shop/products/WS013-BLK_6_800x.jpg?v=1679388087, https://frenchcrown.in/cdn/shop/products/WS013-CC-BLK_1_800x.jpg?v=1679388087, https://frenchcrown.in/cdn/shop/products/WS013-CC-BLK_2_800x.jpg?v=1679388087, https://frenchcrown.in/cdn/shop/products/WS013-CC-BLK_4_800x.jpg?v=1679388087, https://frenchcrown.in/cdn/shop/products/WS013-CC-BLK_5_800x.jpg?v=1679388087, https://frenchcrown.in/cdn/shop/products/WS013-CC-BLK_6_800x.jpg?v=1679388087, https://frenchcrown.in/cdn/shop/products/WS013-BLK_7_800x.jpg?v=1679388087",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"When you want a work closet that’s stylish, and a bit romantic, make this solid shirt your business.
Whether taking the project lead, flavouring your coffee, or simply moving out with the girls for
after-office drinks, you do so in style with French Crown’s premium cotton denim shirt that can be
styled multiple ways.",1679388087
Faded Pink Premium Cotton Shirt,"1,597",Frenchcrown," Story This solid pink shirt from French Crown is tailored with 100% pure cotton fabric & a great
wardrobe staple for women of all ages. It’s a classic look that can easily be dressed up or down
depending on the occasion. It’s also a great option for layering due to its unique cut neckline.
They look great with jeans, shorts, skirts, and dress pants, and can be paired with a variety of
accessories to complete the look. Cotton is a breathable, lightweight fabric that is comfortable to
wear year-round. It is also a great fabric for layering, allowing you to easily transition from one
season to the next.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WS009_1_360x.jpg?v=1679388604, https://frenchcrown.in/cdn/shop/products/WS009_1_800x.jpg?v=1679388604, https://frenchcrown.in/cdn/shop/products/WS009_2_800x.jpg?v=1679388604, https://frenchcrown.in/cdn/shop/products/WS009_4_800x.jpg?v=1679388604, https://frenchcrown.in/cdn/shop/products/WS009_5_800x.jpg?v=1679388604, https://frenchcrown.in/cdn/shop/products/WS009_6_800x.jpg?v=1679388604, https://frenchcrown.in/cdn/shop/products/WS009_1_c2411f47-2a7c-4b9c-8270-eaca9a11bdf3_800x.jpg?v=1679388604, https://frenchcrown.in/cdn/shop/products/WS009_2_d1eed39e-5a60-4288-b944-f1472fa7b800_800x.jpg?v=1679388604, https://frenchcrown.in/cdn/shop/products/WS009_4_ab277f6c-5628-4554-a670-d0f3c34576e7_800x.jpg?v=1679388604, https://frenchcrown.in/cdn/shop/products/WS009_5_56d2405a-6fb2-4bb7-aa4e-95cce3aa9dfe_800x.jpg?v=1679388604, https://frenchcrown.in/cdn/shop/products/WS009_6_2797ad1d-74e0-4243-a60a-99461a986108_800x.jpg?v=1679388604, https://frenchcrown.in/cdn/shop/products/WS009_7_800x.jpg?v=1679388604",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"This solid pink shirt from French Crown  is tailored with 100% pure cotton fabric &  a great
wardrobe staple for women of all ages. It’s a classic look that can easily be dressed up or down
depending on the occasion. It’s also a great option for layering due to its unique cut neckline.
They look great with jeans, shorts, skirts, and dress pants, and can be paired with a variety of
accessories to complete the look. Cotton is a breathable, lightweight fabric that is comfortable to
wear year-round. It is also a great fabric for layering, allowing you to easily transition from one
season to the next.",1679388604
