title,price,photo_url,description
Brass Chain and Sprocket kit for Duke 250CC - KIT HXRC 372NF,"3,575.00",https://ridersarena.com/cdn/shop/files/BBRKitF_0eba058c-d4a8-4981-9436-77b794ea618e.jpg?v=1740743368&width=1946,Both Inner link and Outer link plates are Brass plated Brass Plated by Sophisticated technology Enhanced rust protection Lustrous aesthetic Built for High power Motorcycle Long lasting performance Specially designed for Higher strength Compatible with all terrains ront Sprocket S 02 552 - 14 Teeth Mounting:- 2 Tap on PCD + Involute Spline with Bonding Rear Sprocket S 02 677 - 46 Teeth Mounting:- 6 equispaced Holes on PCD + Bore Chain R520 HXRC - 112 - 2 Front Sprocket Reliable with high performance & longer life. Smooth operation & higher transmission accuracy. Anti-resistant coating with Superior quality. Anti-wear performance which lets vehicle move with full power. Produced with Hi-Tech accurate machining which reduces noise and provides smoother riding. The fitment of the product is as per OE specification. Heat treated and hand finished to perfection. Every sprocket goes through 18 production stages and 15 individual quality control checks before it is ready to leave the manufacturing facility. Rear Sprocket Sprockets are manufactured from carbon steel material with duly induction hardened teeth. Sprockets are only made using the best available materials. Zinc coating to provide better rust prevention. Induction hardening to improve wear resistance with outstanding performance. Shot blasted sprockets with improved surface fatigue strength. Sprockets are made of best surface protection treatment which enables to withstand dust and muddy ride with ease. Sprockets are of made with best position accuracy to ensure better fitment capabilities. Good surface finish that makes ride smoother.
BluArmor ChinMount (Gen3) (Black),379.00,https://ridersarena.com/cdn/shop/files/BLACK-02_608x608_ecba4fe7-a07a-4147-8b66-272f245636d8.webp?v=1690543359&width=1946,"High-speed stability (tested up to speeds of 160kmph) Compatible with most action cameras (gopro, sj cam, etc.) 3m vhb tape ensures strong adhesion to the helmet Patent Pending proprietory design"
Liqui Moly 10w40 Scooter MB formula 800 ML,847.00,https://ridersarena.com/cdn/shop/products/21458_Motorbike_4T_10W_40_Scooter_MB_Formula_800ml_f9fd.png?v=1674311048&width=1946,About this item friction and wear reducing optimum lubrication under all operating conditions ensures maximum engine performance guarantees low oil consumption Brand Generic Liquid Volume 800 Millilitres Package Information Bottle Vehicle Service Type Scooter
Vista Matte Shield,360.00,https://ridersarena.com/cdn/shop/products/MATTESHIELDFRONT_1_600x_2ad7a209-f0f4-43a4-82d5-5f735dcd6bbb.png?v=1663587255&width=1946,"Maintaining car and bike exteriors in mint condition is super easy with Vista Matte Shield . The perfect specialist of keeping matte paint look of rubber, plastic, vinyl, and other parts restores the rich black look without leaving any gloss. Super easy to use matte finish cleaner. Completely streak-free cleaning of all parts. Powerful Eco-friendly formulation. Effective cleaning of car and bike exteriors."
Chain Cleaner Brush for Motorcycles/Cycles (Universal),89.00,https://ridersarena.com/cdn/shop/products/image_91c36716-f2e4-41d9-9543-ca1eed14630b.jpg?v=1677876387&width=1946,"Vehicle Compatibility: All Two Wheelers (Geared and Non-Geared of any Model) Made of high-quality ABS Plastic ensure durability both in terms of life and shape. Abrasion Resistant Nylon Bristles are hard enough to ensure thorough cleaning but also soft enough to ensure flexibility Multiple Application: Bracket layout has been specially designed for Chain and the vertical bristles for other parts like the engine block, sprocket, etc."
NGK Iridium Spark Plug for Benelli TNT 300 / TNT25,788.00,https://ridersarena.com/cdn/shop/files/NGK-Iridium-Spark-Plug-1_62da2bc3-c89e-44f8-a4e8-d472b59b2d25.png?v=1725100428&width=1946,"Give your Benelli TNT 300 / TNT25 the best performance with this NGK Iridium Spark Plug set. Iridium spark plugs are globally the best performance category of spark plugs having superior technology. NGK Iridium spark plugs use very precious Iridium metal at the tip of center electrode of diameter 0.6mm and has a thermo-edge design for central electrode. These features give anti carbon fouling performance, smoothest running, and excellent acceleration with increased mileage and are used and appreciated by most racing bikes and cars all over the world. NGK Iridium Spark Plug for Benelli TNT 300 / TNT25: Part Number: CR8EIX Features Benefits Precious Iridium material is used as a tip of center electrode of diameter- 0.6 mm – Longest and smoothest running over many miles. – Easiest starting and greater ignitability. – Excellent acceleration with increased mileage. – Reduce wear rate of electrode than conventional spark plug. Special thermo edge design for center electrode. – Good anti fouling performance. Note: Compatible with both BS-4 & BS-6 vehicles. Suitable for BS-6 fuel, Fuel injection system and Oxygen sensor."
Raida Bolt Motorcycle Jacket (Hi-Viz),"5,650.00",https://ridersarena.com/cdn/shop/products/RaidaHi-Viz.png?v=1665663071&width=1946,"Lightweight, sporty and protective, the Raida® BOLT jacket is tailor-made for all kinds of terrain. Reflective inserts throughout the jacket help you stay seen while riding at night. Additional features include an adjustable fit, a short connection zipper to attach the pants, and plenty of pockets both inside and outside of the jacket for storage on the go. Raida® BOLT Jacket is Designed, Developed & truly Made in India."
Brass Chain and Sprocket kit for G310R / G310GS - KIT NXRC 321,"4,400.00",https://ridersarena.com/cdn/shop/files/BBRKitF_fe848cda-bee4-41bc-826b-00e04cda21bd.jpg?v=1740743854&width=1946,Both Inner link and Outer link plates are Brass plated Brass Plated by Sophisticated technology Enhanced rust protection Lustrous aesthetic Designed for pro biking and Racing Compatible with all terrains Front Sprocket S 02 660 - 16 Teeth Mounting:- Only Involute Rear Sprocket S 02 713A - 40 Teeth Mounting:- 6 equispaced Holes on PCD + Bore Chain R520NXRC-112-2 Front Sprocket Reliable with high performance & longer life. Smooth operation & higher transmission accuracy. Anti-resistant coating with Superior quality. Anti-wear performance which lets vehicle move with full power. Produced with Hi-Tech accurate machining which reduces noise and provides smoother riding. The fitment of the product is as per OE specification. Heat treated and hand finished to perfection. Every sprocket goes through 18 production stages and 15 individual quality control checks before it is ready to leave the manufacturing facility. Rear Sprocket Sprockets are manufactured from carbon steel material with duly induction hardened teeth. Sprockets are only made using the best available materials. Zinc coating to provide better rust prevention. Induction hardening to improve wear resistance with outstanding performance. Shot blasted sprockets with improved surface fatigue strength. Sprockets are made of best surface protection treatment which enables to withstand dust and muddy ride with ease. Sprockets are of made with best position accuracy to ensure better fitment capabilities. Good surface finish that makes ride smoother.
STEALTH Long CE2 KNEE GUARDS - SOLACE,"3,450.00",https://ridersarena.com/cdn/shop/files/STEALTH-Long-CE2-KNEE-GUARDS-main.png?v=1686644182&width=1946,"The Solace Stealth CE2 Knee Protectors pack CE Level 2 impact protection into a stealthy compression-style sleeve. At the core is a Powertector Air Tec armour – the highest performance impact protector found in the Powertector line, a premium Korean brand. This flexible protector is ventilated, covers the knee, and extends downward onto the shin, covering the lower leg. Removable Powertector CE level 2 armour certified to CE EN 1621-2:2012 Level 2 standard. Flexible, ventilated, and incredibly comfortable (Air Tec EK – 247.2 x 124.5 – armour length and width) Lightweight at approx 620 grams for the pair Armour is reusable multiple times after impact Neoprene outer shell with polyester behind protector and compressed EVA padding Soft backing for comfort Wrap-around fastening system with lots of adjustabilities Dual side pads (2 each side) provided for protection from side knocks Calf pad comfort Open and breathable cut-out behind-the-knee area ensures great breathability, flexibility and also prevents discomfort due to bunching up of material The protector pocket is backed with soft foam to keep you comfortable Elasticated adjustable external velcro straps both top and bottom for a secure fit High tensile strength abrasion-resistant fabric with an internal coating specifically located on the knee face and the outer side of the knee Easy to wash and keep fresh"
Compact Backrest Honda H'ness,"3,280.00",https://ridersarena.com/cdn/shop/products/IMG_1504_350x350_55719950-3cc5-4d18-a3ae-5e44f75fc835.progressive.webp?v=1665059075&width=1946,Compact enough to not cramp the look of your bike but engineered to give you the maximum support possible.
MOTUL - CHAIN LUBE,260.00,https://ridersarena.com/cdn/shop/products/chain_lube.png?v=1666873776&width=1946,"Colourless spray for superior lubrication of motorcycle chains. High-tech chain spray specially developed for road motorcycles. Vehicle Compatibility: All Bikes Recommended chain lubricant for all types of motorcycle chains: Standard, with o-ring, x-ring and z-ring, street motorcycles, go-karts etc Colorless and sticky lubricant specifically designed to lubricate all chains of road bikes and karts Reduces friction and loss of power Water and rust resistant Very good thermal resistance and stability"
MT THUNDER3 PRO ENIGMA HELMET,"6,800.00",https://ridersarena.com/cdn/shop/files/Mt_Thunder3pro_Enigma_Orange_1.webp?v=1718449278&width=1946,"The MT Thunder3 Pro Enigma is a stunning full-face helmet with an aerodynamic shell, multiple vents, an impressive DRS rating, and a 4-star SHARP rating. Features: Shell The MT Thunder 3 PRO is made in TWO different shell sizes to offer the optimum fit to any rider. No longer will a small-built rider have to balance an oversized helmet on his head or vice versa. High-impact molded polycarbonate for greater protection. First in class dual density EPS for better impact absorption. Sleek and aerodynamic shell with a premium design and spoilers. A specially designed ventilation system maximizes airflow and keeps the rider fatigue-free. Safety: Genuine Global Certification and International Ratings MT Thunder 3 PRO has been designed to be among the most aerodynamically efficient and safe helmets on the market. The genuine ECE R22.05 certification is trusted in over 130 countries where this helmet is sold. In addition, the UK Government has rated the helmet 4-Stars in their SHARP rating system, which is a testament to this helmet's high level of quality and protection. DOT (US) ECE R-22.05 (EU) ISI 2015 SHARP 4-star rated, one of the highest levels of safety available in the market. D-ring fasteners. DRS Building on the solid reputation of the earlier Thunder 3, MT helmets have used their experience in MotoGP to develop a wind tunnel-tested and aerodynamically stable Drag Reduction System instead of a traditional spoiler. This innovative multi-component split design keeps the helmet stable at high speeds. In addition, the custom exhaust ports allow efficient airflow through the helmet without causing turbulence. Visor Max vision pinlock-ready visor and additionally available anti-fog inserts that provide clear vision during the rain or foggy weather. The Thunder 3 PRO is equipped with a retractable optical-grade UV-treated sun visor which blocks the majority of harmful UV-A and UV-B rays. So a harsh day’s riding in the sun is no longer a challenge. Equipped with MT’s QRS,(quick-release system ) it facilitates the easy removal and attachment of the visor. Interior Made of hypoallergenic and wicking fabric that absorbs and dissipates the sweat from the skin to keep the rider comfortable. Laser-cut fabric for the ultimate fit. Removable and washable liners that allow you to keep your helmet clean and fresh Speaker pockets that facilitate third-party Bluetooth system. Weight Small & medium - 1550(+/-50) grams. Large & Extra-large- 1600(+/-50) grams."
K&N RC-1060 Universal Clamp-On Air Filter,"4,530.00",https://ridersarena.com/cdn/shop/files/61jeyJugeBL._SL1000.jpg?v=1725008651&width=1946,"Fitment: 1-15/16flg, 3b, 2t, 3h - 150cc to 200cc Designed to increase horsepower and acceleration Hundreds of sizes and shapes for most applications High air flow with excellent filtration. Inner Wire: No Clamp-on washable and reusable air filter"
KORDA AERO RIDING GLOVES,"2,199.00",https://ridersarena.com/cdn/shop/files/KordaAeroBlackRidingGloves.webp?v=1718378100&width=1946,"Seamlessly crafted, the Aero Gloves resonate with users across the spectrum. They represent the ideal harmony between the fiery spirit of dedicated riders and the pragmatic needs of daily navigators. Every stitch and design element reflects our dedication to this balance, ensuring every journey is both a pleasure and a statement. Features: Knuckle: Use our exposed hard knuckles to boldly navigate the terrain, epitomizing protection for every ride's obstacles. Scaphoid Bone: Made of Superfabric, it provides extra protection for the scaphoid area against cuts and tears. Perfect Fit: Expertly designed with the ideal cuff length, our gloves always ensure an impeccable, snug fit. Experience the next level of glove comfort and bid adieu to your old, ill-fitting pair. Instant Ease: Bypass the break-in period. With our naturally contoured fingers, our gloves seamlessly become an extension of your hand. Customized Adjustability: Fine-tune your fit! With wrist girth adjusters, these gloves adapt to offer the perfect embrace for your hands, ensuring optimal comfort. Superior Airflow: Embrace the harmony of durability and breathability. Crafted from a lightweight yet resilient knitted fabric, these gloves promise to keep your hands fresh throughout the day. Digital Ease: Step into the connected world with our superior TouchTip™ technology. Featuring conductive material on the index finger and thumb, enjoy uninterrupted touchscreen access, making every interaction swift and glove-friendly. No more missed opportunities."
Putoline TECH CHAIN LUBE - 500ML,"1,199.00",https://ridersarena.com/cdn/shop/products/putoline-tech-chain-lube-500ml-142198_530x_913668ea-68d9-4590-ae14-1ee862fa2710.webp?v=1678020763&width=1946,"Product Description: Tech Chain (ceramic wax) is a modern, high-grade chain lubricant. The product consists of a unique wax formula combined with sophisticated additives, including PTFE Tech Chain provides optimal protection to the chain under all operating conditions Suitable for sporting and professional use on both O-ring and MX chains Instructions for use: Shake well before use Spray a thin layer onto the chain Allow to dry"
Wireless android auto/Carplay 5” Touch Screen,"9,999.00",https://ridersarena.com/cdn/shop/files/wireless-motorcycle-carply-5-inch.png?v=1740668784&width=1946,"Zoom Supported – No Original Package – YES Touch Screen  – YES Screen Ratio  – 04:03 Memory Card Required Reding Speed  -Class 10 U3 Video Code  – H.264 Video Format  – MOV OSD Language  – Chinese (Simplified),Chinese (Traditional),English,French,German,Hebrew,ITALIAN,Japanese,Korean,Spanish,Turkish Image Stabilization – Dual Image Stabilization Memory Card Type – MicroSD/TF Imaging Sensor –  GC2053 Camera Resolution – 1280*720 (FHD/QFHD) Special Features  – G-sensor,Cycle Recording,Time & Date Display,With Rearview Mirror,Night vision,Bult-in GPS,Dual Lens,Radar Detector,GPS TRACKER,waterproof,Anti Vibration,Real Time Surveillance,Wifi Function,bluetooth GPS logger – External Placement – Motorcycle Head View angle – 170° Max External Memory –  upto 128G Pixels  – 1.2 MP Interface – AV-Out Origin – China Certification – CE,FCC,RoHS power supply –  ACC 5V 1Amp RSSOLUTION – 854*480px screen size – 5 inches GPS Built in – yes Camera and TPMS are not there in this product."
INNOVV H5 HELMET CAMERA SYSTEM,"27,000.00",https://ridersarena.com/cdn/shop/products/4a7279_e5e8ad4d056b4f5985c58253b1569d4f_mv2.webp?v=1671548313&width=1946,"The INNOVV H5 is a high-end helmet camera specially designed for motorcycle enthusiasts. The camera is able to capture videos in 4K at 30 FPS. Utilizing unique anti-shake and stabilization technology, the H5 is a perfect lightweight device for capturing videos, photos, and audio in a rapid motion environment. The DVR comes with a removable battery which can be replaced with the power supply enabling a longer duration of recording without power loss anxiety Key Features 1. Max resolution 4K at 30FPS up to 20mega pixels for images. 2. Anti-Shake by EIS offers a more stable image recording ability. 3. Equipped with a helmet microphone with wind/noise reduction technology for a clearer audio recording. 4. The removable battery life is up to 5 hours and the alternative power supply offers even longer recording time. 5. Supports up to 512GB TF card. 6. The waterproof rating of the whole system is IP65, which meets the requirements of splash proof, waterproof and dustproof. 7. Small sized DVR allowing for various and easy installations. Product Details Camera Dimension: 110*32*55mm Storage: TF card (Support up to 512GB) Maximum Resolution: 4K Video format: MP4 Battery Life: 300 minutes Items in Package 1 x DVR 1 x Battery 1 x Power Supply 1 x Mount for Helmet 1 x USB Cable 1 x Back Mount 1 x Manual"
CRANK1 - Battery For BMW 750GS-CB12-BS-CRANK1,"7,980.00",https://ridersarena.com/cdn/shop/products/2-1-min.webp?v=1675159638&width=1946,Model: CB12-BS Application Chart: (1) TRIUMPH BONNEVILLE T100 (2) SUZUKI HAYABUSA 2011 ONWARDS (3) TRIUMPH SPEED TRIPLE 1050R (4) KAWASAKI VULCAN 900 CUSTO (5) KAWASAKI KLE VERSYS 650 (6)TRIUMPH STREET TWIN (7) BMW 750GS
CRANK1 -  Battery For HONDA GOLD WING -CB20L-BS-CRANK1,"8,880.00",https://ridersarena.com/cdn/shop/products/4-4-min-1_18975561-8bad-4589-90fe-df34d75f9873.webp?v=1675068866&width=1946,Model: CB20L-BS Application Chart: (1) HARLEY DAVIDSON FATBOY (2) TRIUMPH ROCKET III 2300CC (3) TRIUMPH THUNDERBIRD STORM (4) HONDA GOLD WING (5) TRIUMPH TIGER EXPLORER 1200 (6) INDIAN CHIEFTAIN DARK HORSE (7) HARLEY DAVIDSON STREET BOB 1745CC (8) HARLEY DAVIDSON FAT BOB (9) HARLY DAVIDSON BREAKOUT 1690
Kovix - Disc Lock,950.00,https://ridersarena.com/cdn/shop/products/kn1-kovix-original-imaf8bczsunwfg7p.png?v=1665743188&width=1946,"The lock is made of stainless steel, Impossible to Destroy and Cut, ---->Lock have Anticorrosion coating and resistant to changing weather conditions , ---->Distance from the pin to the edge of the body: 20 mm, TVS Apache RTR 160 this lock is not fit. Type: Disc Lock Material: Stainless Steel Number of Keys: 3"
Windshield for RE Hunter 350,999.00,https://ridersarena.com/cdn/shop/files/51mOPdSCqzL._SX522.jpg?v=1683726015&width=1946,"Compatible with Royal Enfield Hunter 350 model only . It helps in protecting your face from direct wind and air particles. It is easy to install and does not take much time for the same. Along with protection, this product also enhances the overall looks of your bike, hence is advisable for every royal Enfield owner."
KTM OE Indicators (Set),399.00,https://ridersarena.com/cdn/shop/products/image_e918a25d-f1b0-4718-9d41-9f066674fbf9.jpg?v=1676791396&width=1946,"Love the indicators on the KTM Motorcycle? An ultra-modern replica of the stylish KTM OE Indicator! If you have admired the KTM indicators from afar then this accessory is for you. Designed by professionals, this indicator can replace your old indicators without any hassle. Universal product -The KTM indicator comes in one colour. The best part about it is that it can fit into a wide array of motorcycles. Elegant design -The LED indicator is stylish and will give your bike a dynamic look. The elegant design of the indicator makes it look like a seamless part of your motorcycle. Colour -Orange Suitable for -It is a universal product made to fit a wide range of motorcycles"
ICON,"1,345.00",https://ridersarena.com/cdn/shop/products/black.png?v=1664564244&width=1946,"ICON is a higher impact open face helmet with product features like UV resistant paint, regulated density EPS, dynamic ventilation system, hypoallergenic and replaceable liner, silicon coated dual visor,top vents and quick release chin strap. ICON is available in various sizes and colour options."
Bike Wheel Cover for Royal Enfield Bullet 350 (18 Inch Wheel),699.00,https://ridersarena.com/cdn/shop/files/61_bHe4PjkL._SL1500.jpg?v=1701948814&width=1946,"This Wheel Cover Is Made Of High ABS Material, High Hardness, Waterproof High Temperature Resistance. Package : 2 Pcs Wheel cover Only. Gives Trendy Looks To Your Bikes. Improves the aesthetics of the wheel , Highly Customizable"
"Display Screen Protector KTM DUKE 390, ADV 390 CC",250.00,https://ridersarena.com/cdn/shop/products/05.jpg?v=1678971248&width=1946,"COMPLETE PROTECTION FOR YOUR BIKE SPEEDOMETER FROM SCRATCHES AND UV RAYS, CLEAR TRANSPARENT PRODUCT. CUSTOM BUILD PRODUCT TO PERFECTLY FIT YOUR SPEEDOMETER DISPLAY. PREVENTS SPEEDOMETER FROM FADING AND DAMAGING BECAUSE OF UV RAYS. CAN BE INSTALLED EASILY BY ANYONE WITHOUT AIR BUBBLES. PACKAGE INCLUDES – 2 PROTECTORS, MICRO FIBER CLOTH, WET & DRY WIPES, SQUEEZER CARD, ARK LOGO STICKER CLEAR TRANSPARENT MATERIAL MADE FROM HIGH QUALITY PET MATERIAL WHICH IS SCRATCH RESISTANT AND PROVIDES UV PROTECTION IT CAN BE EASILY APPLIED BY ANYONE WITHOUT AIR BUBBLES NO RESIDUE AFTER REMOVING"
"TIREWELL TW-7002 100 PSI Portable Tyre Inflator with Dial Gauge, Analog Tire Air Compressor Pump with LED Light","1,550.00",https://ridersarena.com/cdn/shop/products/71kkhWunasL._AC_SS450.jpg?v=1664800908&width=1946,"FASTER TYRE INFLATION: TIREWELL TW-7002 100 PSI Portable Tyre Inflator is the trusty companion you need during an emergency for your car or motorcycle. It can inflate a standard mid-sized tire from 0-35 psi in a few minutes. Take this tyre inflator with you & never be stranded by a flat tire again. ACCURATE DIAL GAUGE: This air compressor has a built-in with dial air pressure measuring gauge so that you can also check and monitor tire pressure with ease. Its dial gauge is designed as per the pre-set industry standards to record even a fluctuation of 1 psi. EMERGENCY LED LIGHTING: Tirewell Analog Air Compressor Pump is equipped with an emergency light to see clearly while you're reinflating your tire at night or making quick repairs on a dark lonely country road. With this tire inflator, you don't need to worry about fixing punctures at night. LONG POWER CORD: At 3 meters (10 feet) long, the power cord of the offered air compressor pump has been designed so that you can absolutely reach any of the four wheels and further, never be annoyed and inconvenienced again by those pesky air compressors that barely reach the back tires. ADDITIONAL NOZZLES AND ADAPTERS: TIREWELL Tire Inflator Air Compressor comes with additional accessories like 3 extra nozzles and 1 fuse that are included for versatile use, making it easy for you to inflate car, bike, motorcycle, RV, SUV and ATV tires and also sports equipment and other inflatables."
NGK Iridium Spark Plug Kit for Royal Enfield 350cc BS4/ BS6,"1,625.00",https://ridersarena.com/cdn/shop/files/NGK-Iridium-Spark-Plug-1_86f8f42b-24e8-4e9a-bbee-fbc6418a5fb2.png?v=1725099938&width=1946,"NGK Iridium spark plugs use very precious Iridium metal at the tip of center electrode of diameter 0.6mm and has a thermo-edge design for central electrode. These features give anti carbon fouling performance, smoothest running, and excellent acceleration with increased mileage and are used and appreciated by most racing bikes and cars all over the world. Part Number : BPR5EIX , CPR6EAIX-9S Features Benefits Precious Iridium material is used as a tip of center electrode of diameter- 0.6 mm – Longest and smoothest running over many miles. – Easiest starting and greater ignitability. – Excellent acceleration with increased mileage. – Reduce wear rate of electrode than conventional spark plug. Special thermo edge design for center electrode. – Good anti fouling performance. Note: Compatible with both BS-4 & BS-6 vehicles. Suitable for BS-6 fuel, Fuel injection system and Oxygen sensor."
Vista - Rustkleen (125ml),135.00,https://ridersarena.com/cdn/shop/products/RustkleenMF125mlProductImages-01_1_600x_1d25604b-a346-499a-976f-b88f1e98f1a9.png?v=1663678668&width=1946,"Prolong the life of metal parts of your motorbike and car with Vista Rustkleen rust remover spray. Its oil based formulation keeps metal parts rust free with faster penetration properties that remove even heavy accumulation of rust. Great for cleaning motorbike chains, car door hinges, and jammed wheels and nuts, it also prolongs the life of important parts of the vehicle like sprockets. Chain cleaner that also cleans battery plugs and terminals. Removes adhesive labels and stickers. Reduces clutter noise. Removes moisture from ignition systems and electronic parts. Cleans engine corrosion."
Brass Chain and Sprocket kit for DUKE 125CC - KIT HPORC 373NF,"2,950.00",https://ridersarena.com/cdn/shop/files/BBRKitF_92bcb554-d843-4cef-bda1-d82484fb9e76.jpg?v=1740743723&width=1946,Both Inner link and Outer link plates are Brass plated Brass Plated by Sophisticated technology Enhanced rust protection Lustrous aesthetic Designed for pro biking and Racing Front Sprocket SR 02 249 - 14 Teeth Mounting:- 1 Tap + Spline Rear Sprocket S 02 661 - 45 Teeth Mounting:- 6 equispaced Holes on PCD + Bore Chain R520HPORC-112-2 Front Sprocket Reliable with high performance & longer life. Smooth operation & higher transmission accuracy. Anti-resistant coating with Superior quality. Anti-wear performance which lets vehicle move with full power. Produced with Hi-Tech accurate machining which reduces noise and provides smoother riding. The fitment of the product is as per OE specification. Heat treated and hand finished to perfection. Every sprocket goes through 18 production stages and 15 individual quality control checks before it is ready to leave the manufacturing facility. Rear Sprocket Sprockets are manufactured from carbon steel material with duly induction hardened teeth. Sprockets are only made using the best available materials. Zinc coating to provide better rust prevention. Induction hardening to improve wear resistance with outstanding performance. Shot blasted sprockets with improved surface fatigue strength. Sprockets are made of best surface protection treatment which enables to withstand dust and muddy ride with ease. Sprockets are of made with best position accuracy to ensure better fitment capabilities. Good surface finish that makes ride smoother.
